"PGID_","SMILES","Bandgap","Dielectric.Constant","Ionic.Dielectric.Constant","Electronic.Dielectric.Constant","Refractive.Index","Atomization.Energy","Breakdown.Field","Density","Ionization.Energy","Electron.Affinity","Cohesive.Energy","Dielectric.Loss","Melting.Temperature","Glass.Transition.Temperature","Onset.of.Degradation.Temperature","Hildebrand.Solubility.Parameter","Energy.Density","State","Molecular.Weight","Entanglement.Molecular.Weight","Molar.Heat.Capacity","Molar.Volume"
134,"*CCNC(=S)*",3.54,4.13,0.77,3.47,1.85,-5.33,NA,1.4,5.47,1.93,0.14,NA,NA,337,NA,20.29,NA,NA,NA,NA,NA,NA
135,"*CCON*",6.31,3.44,0.56,2.9,1.66,-5.13,NA,1.15,5.51,0.41,-0.19,NA,NA,210,NA,20.39,NA,NA,NA,NA,NA,NA
136,"*CC(=O)C1=CC=C(S1)C2=CC=C(S2)*",2.36,5.22,0.61,4.28,2.07,-6.11,NA,1.44,5.74,2.72,0.02,NA,NA,419,NA,21.17,NA,NA,NA,NA,NA,NA
137,"*CC(=O)C1=CC=C(S1)C(C=C2)=CC=C2*",2.71,4.54,0.51,4.07,1.98,-6.21,NA,1.28,6.02,2.5,-0.1,NA,NA,419,NA,22.04,NA,NA,NA,NA,NA,NA
138,"*CC(=O)C1=CC=C(S1)C(=O)*",2.91,4.81,0.79,3.7,1.94,-6.22,NA,1.51,7.16,3.22,-0.01,NA,NA,367,NA,23.09,NA,NA,NA,NA,NA,NA
139,"*CC(=O)C1=CC=C(S1)C(=S)*",2.17,5.25,0.51,4.27,2.11,-6,NA,1.63,6.28,3.66,0.08,NA,NA,423,NA,20.27,NA,NA,NA,NA,NA,NA
140,"*CC(=O)C1=CC=C(S1)O*",3.02,4.34,0.78,3.65,1.89,-6.03,NA,1.46,6.47,2.45,0.02,NA,NA,394,NA,24.44,NA,NA,NA,NA,NA,NA
141,"*CC(=O)C(C=C1)=CC=C1C2=CC=C(S2)*",2.66,4.52,0.51,4.21,1.98,-6.21,NA,1.28,6.05,2.47,-0.09,NA,NA,421,NA,22.11,NA,NA,NA,NA,NA,NA
142,"*CC(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2*",3.03,4.01,0.34,3.63,1.91,-6.29,NA,1.17,6.08,2.21,-0.18,NA,NA,424,NA,22.37,NA,NA,NA,NA,NA,NA
143,"*CC(=O)C(C=C1)=CC=C1C(=O)*",3.41,4.23,0.66,3.53,1.89,-6.34,NA,1.32,7.27,2.93,-0.16,NA,NA,328,NA,24.47,NA,NA,NA,NA,NA,NA
144,"*CC(=O)C(C=C1)=CC=C1C(=S)*",2.41,4.63,0.59,4.12,2.01,-6.14,NA,1.39,6.14,3.47,0.86,NA,NA,393,NA,22.03,NA,NA,NA,NA,NA,NA
145,"*CC(=O)C(C=C1)=CC=C1O*",3.42,3.95,0.61,3.19,1.85,-6.19,NA,1.27,6.51,2.28,-0.14,NA,NA,389,NA,24.18,NA,NA,NA,NA,NA,NA
146,"*CC(=O)CC1=CC=C(S1)*",3.54,3.36,0.36,3.24,1.79,-5.86,NA,1.33,6.02,1.72,-0.04,NA,NA,323,NA,21.13,NA,NA,NA,NA,NA,NA
147,"*CC(=O)CC(C=C1)=CC=C1*",3.79,3.38,0.54,3.11,1.78,-6.03,NA,1.16,6.46,1.62,-0.18,NA,NA,314,NA,21.37,NA,NA,NA,NA,NA,NA
148,"*CC(=O)CC(=O)*",4.38,3.67,0.7,3.09,1.75,-5.93,NA,1.4,5.89,2.01,-0.19,NA,NA,289,NA,23.95,NA,NA,NA,NA,NA,NA
149,"*CC(=O)CC(=S)*",3.08,3.76,0.52,3.3,1.83,-5.61,NA,1.58,5.79,2.99,-0.03,NA,NA,327,NA,20.52,NA,NA,NA,NA,NA,NA
150,"*CC(=O)CO*",4.94,3.67,0.83,2.86,1.71,-5.64,NA,1.32,7.01,1.5,-0.11,NA,NA,264,NA,23.67,NA,NA,NA,NA,NA,NA
151,"*CC(=O)C(=S)C1=CC=C(S1)*",2.04,5.14,0.63,4.21,2.1,-5.99,NA,1.63,6.46,3.62,0.09,NA,NA,407,NA,20.55,NA,NA,NA,NA,NA,NA
152,"*CC(=O)C(=S)C(C=C1)=CC=C1*",2.32,4.57,0.5,4.12,2,-6.14,NA,1.39,6.5,3.4,-0.08,NA,NA,353,NA,22.09,NA,NA,NA,NA,NA,NA
153,"*CC(=O)C(=S)C(=O)*",1.59,5.59,1.53,4.8,2.13,-6.08,NA,1.72,6.73,4.39,0.1,NA,NA,375,NA,20.68,NA,NA,NA,NA,NA,NA
154,"*CC(=O)C(=S)O*",2.18,4.99,0.87,3.93,1.99,-5.81,NA,1.71,6.69,3.2,0.16,NA,NA,367,NA,21.34,NA,NA,NA,NA,NA,NA
155,"*CC(=O)NC1=CC=C(S1)*",3.65,4.3,0.59,3.53,1.88,-6.01,NA,1.5,5.72,1.51,0.09,NA,NA,407,NA,25.11,NA,NA,NA,NA,NA,NA
156,"*CC(=O)NC(C=C1)=CC=C1*",3.94,4.03,0.68,3.35,1.85,-6.17,NA,1.29,5.95,1.42,-0.07,NA,NA,436,NA,25.57,NA,NA,NA,NA,NA,NA
157,"*CC(=O)NC(=O)*",5.02,4.39,1.21,3.19,1.75,-6.2,NA,1.5,6.04,1.56,0.01,NA,NA,367,NA,28.64,NA,NA,NA,NA,NA,NA
158,"*CC(=O)NC(=S)*",3.04,4.91,0.98,3.71,1.91,-5.83,NA,1.66,5.82,2.77,0.2,NA,NA,383,NA,24.07,NA,NA,NA,NA,NA,NA
159,"*CC(=O)OC1=CC=C(S1)*",4.25,3.62,0.51,3.4,1.79,-6.04,NA,1.46,6.31,1.69,0.04,NA,NA,342,NA,20.41,NA,NA,NA,NA,NA,NA
160,"*CC(=O)OC(C=C1)=CC=C1*",4.46,3.56,0.51,3.02,1.78,-6.22,NA,1.27,6.56,1.56,-0.12,NA,NA,322,NA,21.15,NA,NA,NA,NA,NA,NA
161,"*CC(=O)OC(=O)*",6.07,3.9,1.04,2.9,1.7,-6.31,NA,1.58,8.45,2.13,-0.01,NA,NA,344,NA,19.93,NA,NA,NA,NA,NA,NA
162,"*CC(=O)OC(=S)*",3.73,4.08,0.7,3.07,1.81,-5.87,NA,1.71,6.75,3.12,0.15,NA,NA,360,NA,19.67,NA,NA,NA,NA,NA,NA
163,"*CC(=S)C1=CC=C(S1)C(=S)*",1.63,5.65,0.4,6,2.28,-5.78,NA,1.7,4.83,3.89,0.19,NA,NA,381,NA,19.13,NA,NA,NA,NA,NA,NA
164,"*CC(=S)C1=CC=C(S1)O*",1.97,4.79,0.97,4.67,2.05,-5.79,NA,1.58,5.73,3.15,0.11,NA,NA,435,NA,20.28,NA,NA,NA,NA,NA,NA
165,"*CC(=S)C(C=C1)=CC=C1C(=S)*",1.57,5.06,NA,NA,2.14,-5.95,NA,1.51,4.9,3.86,0.02,NA,NA,419,NA,19.7,NA,NA,NA,NA,NA,NA
166,"*CC(=S)C(C=C1)=CC=C1N*",2.26,4.74,0.94,4.55,2.03,-5.96,NA,1.38,5.54,2.76,0,NA,NA,437,NA,20.63,NA,NA,NA,NA,NA,NA
167,"*CC(=S)C(C=C1)=CC=C1O*",2.52,4.29,0.5,3.95,1.96,-5.99,NA,1.33,5.92,2.91,-0.06,NA,NA,383,NA,21.93,NA,NA,NA,NA,NA,NA
168,"*CC(=S)CC(=S)*",2.22,4.15,0.21,3.74,1.95,-5.31,NA,1.7,2.98,3.53,0.01,NA,NA,334,NA,19.19,NA,NA,NA,NA,NA,NA
169,"*CC(=S)CO*",2.41,3.86,0.61,3.55,1.86,-5.27,NA,1.49,5.72,2.64,0.04,NA,NA,313,NA,20.15,NA,NA,NA,NA,NA,NA
170,"*CC(=S)C(=O)C(=S)*",0.81,5.81,0.79,4.82,2.2,-5.76,NA,1.68,3.5,4.65,0.23,NA,NA,345,NA,20.29,NA,NA,NA,NA,NA,NA
171,"*CC(=S)C(=O)O*",2.12,5.05,0.86,3.69,2.03,-5.85,NA,1.71,6.67,3.69,0.15,NA,NA,365,NA,19.77,NA,NA,NA,NA,NA,NA
172,"*CC(=S)NC(=S)*",1.88,5.33,1.53,4.2,2.08,-5.44,NA,1.72,2.58,3.49,0.26,NA,NA,353,NA,19.73,NA,NA,NA,NA,NA,NA
173,"*CC(=S)NO*",2.97,4.77,1.38,3.78,1.91,-5.26,NA,1.59,5.7,2.34,0.3,NA,NA,332,NA,21.35,NA,NA,NA,NA,NA,NA
174,"*CC(=S)OC(=S)*",2.69,4.63,0.55,3.81,1.97,-5.46,NA,1.7,3.05,3.62,0.11,NA,NA,362,NA,20.02,NA,NA,NA,NA,NA,NA
175,"*CNC1=CC=C(S1)C(C=C2)=CC=C2*",3.1,4.5,0.41,3.77,1.97,-6.05,NA,1.25,5.16,1.53,-0.03,NA,NA,434,NA,20.17,NA,NA,NA,NA,NA,NA
176,"*CNC1=CC=C(S1)C(=O)*",2.6,4.81,1.21,4.08,1.95,-5.99,NA,1.5,5.61,2.37,0.1,NA,NA,390,NA,21.65,NA,NA,NA,NA,NA,NA
177,"*CNC1=CC=C(S1)C(=S)*",2,5.29,1.12,5.07,2.12,-5.77,NA,1.63,5.42,3,0.18,NA,NA,416,NA,19.29,NA,NA,NA,NA,NA,NA
178,"*CNC1=CC=C(S1)N*",3.44,4.71,0.74,3.44,1.95,-5.73,NA,1.47,4.66,0.63,0.2,NA,NA,401,NA,19.84,NA,NA,NA,NA,NA,NA
179,"*CNC1=CC=C(S1)O*",3.85,4.25,0.77,3.42,1.89,-5.76,NA,1.43,5.2,0.77,0.14,NA,NA,404,NA,20.96,NA,NA,NA,NA,NA,NA
180,"*CNC(C=C1)=CC=C1C2=CC=C(S2)*",2.89,4.58,0.6,3.82,1.99,-6.06,NA,1.26,5.06,1.49,-0.03,NA,NA,449,NA,20.1,NA,NA,NA,NA,NA,NA
182,"*CNC(C=C1)=CC=C1N*",3.6,4.32,0.73,3.47,1.89,-5.94,NA,1.26,4.73,0.64,0.02,NA,NA,443,NA,20.18,NA,NA,NA,NA,NA,NA
183,"*CNC(C=C1)=CC=C1O*",4.17,3.97,0.75,3.39,1.84,-5.99,NA,1.23,5.22,0.77,-0.05,NA,NA,411,NA,21.31,NA,NA,NA,NA,NA,NA
184,"*CNCC1=CC=C(S1)*",4.24,3.39,0.36,3.17,1.78,-5.63,NA,1.19,5.79,1.05,0.06,NA,NA,365,NA,19.45,NA,NA,NA,NA,NA,NA
185,"*CNCC(C=C1)=CC=C1*",4.47,3.38,0.22,3.15,1.76,-5.84,NA,1.06,6.06,1.01,-0.12,NA,NA,365,NA,19.61,NA,NA,NA,NA,NA,NA
186,"*CNCC(=O)*",4.1,3.59,0.54,2.96,1.7,-5.6,NA,1.23,6.42,1.61,0.02,NA,NA,277,NA,23.32,NA,NA,NA,NA,NA,NA
187,"*CNCC(=S)*",2.98,3.83,0.28,3.57,1.84,-5.27,NA,1.4,6,2.64,0.15,NA,NA,313,NA,20.09,NA,NA,NA,NA,NA,NA
188,"*CNCN*",6.07,3.47,0.32,2.98,1.66,-5.22,NA,1.06,5.89,0.78,0.14,NA,NA,261,NA,19.84,NA,NA,NA,NA,NA,NA
189,"*CNCO*",6.87,3.55,0.74,2.79,1.66,-5.26,NA,1.15,6.44,0.76,-0.26,NA,NA,219,NA,20.47,NA,NA,NA,NA,NA,NA
190,"*CNC(=O)C1=CC=C(S1)*",3.66,4.45,0.67,3.44,1.88,-6.02,NA,1.4,6.45,2.15,0.07,NA,NA,386,NA,25.91,NA,NA,NA,NA,NA,NA
191,"*CNC(=O)C(C=C1)=CC=C1*",3.95,3.99,0.66,3.3,1.83,-6.16,NA,1.22,6.71,1.91,-0.08,NA,NA,460,NA,25.9,NA,NA,NA,NA,NA,NA
192,"*CNC(=O)C(=S)*",2.23,5.39,1.24,3.99,2.02,-5.8,NA,1.66,6.78,3.69,0.26,NA,NA,372,NA,22.72,NA,NA,NA,NA,NA,NA
193,"*CNC(=S)C1=CC=C(S1)*",2.69,4.96,0.68,3.87,2.03,-5.79,NA,1.53,5.82,2.68,0.17,NA,NA,414,NA,19.81,NA,NA,NA,NA,NA,NA
194,"*CNC(=S)C(C=C1)=CC=C1*",3.09,4.38,0.41,3.58,1.95,-5.96,NA,1.28,5.76,2.45,0.01,NA,NA,385,NA,20.88,NA,NA,NA,NA,NA,NA
195,"*CNC(=S)C(=O)*",2.05,5.52,1.25,4.09,2.02,-5.78,NA,1.66,6.47,3.48,0.26,NA,NA,384,NA,21.39,NA,NA,NA,NA,NA,NA
196,"*CNC(=S)N*",3.73,5.17,2.32,3.27,1.88,-5.47,NA,1.51,5.8,1.76,0.35,NA,NA,405,NA,21.28,NA,NA,NA,NA,NA,NA
197,"*CNC(=S)O*",4.04,4.81,1.08,3.49,1.9,-5.48,NA,1.6,6.36,1.9,0.3,NA,NA,395,NA,21.9,NA,NA,NA,NA,NA,NA
198,"*CNOC1=CC=C(S1)*",4.06,3.67,0.38,3.44,1.81,-5.65,NA,1.33,5.65,1.05,0.13,NA,NA,348,NA,21.44,NA,NA,NA,NA,NA,NA
199,"*CNOC(C=C1)=CC=C1*",4.35,3.57,0.3,3.35,1.79,-5.89,NA,1.18,5.95,1.01,-0.05,NA,NA,330,NA,20.68,NA,NA,NA,NA,NA,NA
200,"*CNOC(=S)*",3.35,4.29,0.41,3.47,1.88,-5.26,NA,1.59,6.61,2.45,0.32,NA,NA,360,NA,21.95,NA,NA,NA,NA,NA,NA
201,"*CNON*",5.25,3.83,0.57,3.05,1.67,-5.02,NA,1.28,6.28,0.82,0.31,NA,NA,270,NA,21.27,NA,NA,NA,NA,NA,NA
202,"*COC1=CC=C(S1)C(C=C2)=CC=C2*",3.3,4.24,0.39,3.76,1.93,-6.09,NA,1.23,5.49,1.68,-0.07,NA,NA,405,NA,20.72,NA,NA,NA,NA,NA,NA
203,"*COC1=CC=C(S1)O*",4.29,3.8,0.62,3.22,1.83,-5.79,NA,1.4,5.67,0.9,0.06,NA,NA,377,NA,23.36,NA,NA,NA,NA,NA,NA
204,"*COC(C=C1)=CC=C1O*",4.56,3.67,0.6,3.2,1.81,-6.03,NA,1.24,5.9,0.95,-0.12,NA,NA,384,NA,23.22,NA,NA,NA,NA,NA,NA
206,"*COC(=O)O*",6.84,3.92,0.98,2.75,1.72,-5.97,NA,1.56,8.76,0.74,0.05,NA,NA,347,NA,21.49,NA,NA,NA,NA,NA,NA
207,"*COC(=S)O*",4.22,4.36,0.93,3.41,1.91,-5.48,NA,1.67,6.95,1.95,0.23,NA,NA,354,NA,21.14,NA,NA,NA,NA,NA,NA
208,"*CONC(=O)*",5.42,4.19,1.09,3.04,1.71,-5.69,NA,1.44,7.22,1.25,0.11,NA,NA,290,NA,28.2,NA,NA,NA,NA,NA,NA
209,"*CONO*",6.01,4.06,1.22,3.03,1.68,-5.07,NA,1.41,6.98,0.47,0.23,NA,NA,232,NA,22.48,NA,NA,NA,NA,NA,NA
210,"*C(=O)C1=CC=C(S1)C2=CC=C(S2)C3=CC=C(S3)*",1.36,7.12,0.96,7.32,2.56,-6.26,NA,1.51,5.35,3.4,0.06,NA,NA,426,NA,21.07,NA,NA,NA,NA,NA,NA
211,"*C(=O)C1=CC=C(S1)C2=CC=C(S2)C(=S)*",1.12,7.44,0.83,5.67,2.55,-6.22,NA,1.65,6.03,4.2,0.13,NA,NA,428,NA,20.36,NA,NA,NA,NA,NA,NA
212,"*C(=O)C1=CC=C(S1)C2=CC=C(S2)O*",2.31,5.94,1.02,4.21,2.18,-6.27,NA,1.54,5.71,2.95,0.09,NA,NA,434,NA,20.43,NA,NA,NA,NA,NA,NA
213,"*C(=O)C1=CC=C(S1)C(C=C2)=CC=C2C3=CC=C(S3)*",1.72,6.14,0.78,6.66,2.4,-6.33,NA,1.36,5.69,3.15,-0.05,NA,NA,441,NA,22.12,NA,NA,NA,NA,NA,NA
214,"*C(=O)C1=CC=C(S1)C(C=C2)=CC=C2C(=S)*",1.45,6.45,0.71,5.19,2.39,-6.3,NA,1.48,6.29,3.96,-0.01,NA,NA,432,NA,21.96,NA,NA,NA,NA,NA,NA
215,"*C(=O)C1=CC=C(S1)C(C=C2)=CC=C2O*",2.58,5.01,0.89,4.55,2.05,-6.37,NA,1.37,5.86,2.67,-0.05,NA,NA,428,NA,21.66,NA,NA,NA,NA,NA,NA
216,"*C(=O)C1=CC=C(S1)C(=O)C2=CC=C(S2)*",1.98,5.98,2.68,4.36,2.15,-6.37,NA,1.57,6.87,3.68,0.05,NA,NA,401,NA,23.09,NA,NA,NA,NA,NA,NA
217,"*C(=O)C1=CC=C(S1)C(=O)C(=S)*",1.04,6.93,1.06,5.54,2.4,-6.35,NA,1.72,6.94,4.44,0.14,NA,NA,399,NA,21.15,NA,NA,NA,NA,NA,NA
218,"*C(=O)C1=CC=C(S1)C(=O)O*",3.16,5.43,1.03,3.54,1.95,-6.51,NA,1.63,7.38,3.53,0.09,NA,NA,385,NA,20.71,NA,NA,NA,NA,NA,NA
219,"*C(=O)C1=CC=C(S1)C(=S)C2=CC=C(S2)*",1.57,6.43,0.94,5.28,2.32,-6.21,NA,1.65,6.34,3.96,0.12,NA,NA,420,NA,20.43,NA,NA,NA,NA,NA,NA
220,"*C(=O)C1=CC=C(S1)C(=S)O*",2.1,5.89,1.17,4.28,2.14,-6.22,NA,1.71,6.7,3.84,0.2,NA,NA,418,NA,20.23,NA,NA,NA,NA,NA,NA
221,"*C(=O)C1=CC=C(S1)OC2=CC=C(S2)*",2.7,5,0.83,4.17,2,-6.21,NA,1.53,6.33,2.84,0.08,NA,NA,423,NA,22.11,NA,NA,NA,NA,NA,NA
222,"*C(=O)C1=CC=C(S1)OC(=S)*",1.9,5.71,1.06,5.35,2.14,-6.16,NA,1.71,6.72,3.73,0.2,NA,NA,420,NA,21.16,NA,NA,NA,NA,NA,NA
223,"*C(=O)C(C=C1)=CC=C1C2=CC=C(S2)C3=CC=C(S3)*",1.75,6.1,0.47,4.63,2.39,-6.33,NA,1.36,5.69,3.15,-0.04,NA,NA,456,NA,22.12,NA,NA,NA,NA,NA,NA
224,"*C(=O)C(C=C1)=CC=C1C2=CC=C(S2)C(C=C3)=CC=C3*",2.13,5.22,0.6,5.26,2.21,-6.38,NA,1.25,5.81,2.86,-0.12,NA,NA,462,NA,22.36,NA,NA,NA,NA,NA,NA
225,"*C(=O)C(C=C1)=CC=C1C2=CC=C(S2)C(=S)*",1.49,6.45,0.72,5.04,2.39,-6.3,NA,1.48,6.16,3.96,-0.01,NA,NA,448,NA,21.96,NA,NA,NA,NA,NA,NA
226,"*C(=O)C(C=C1)=CC=C1C2=CC=C(S2)O*",2.62,4.98,0.81,3.92,2.07,-6.35,NA,1.37,6.07,2.7,-0.04,NA,NA,420,NA,21.72,NA,NA,NA,NA,NA,NA
227,"*C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C3=CC=C(S3)*",2.12,5.24,0.58,5.57,2.22,-6.38,NA,1.25,5.85,2.87,-0.12,NA,NA,458,NA,22.73,NA,NA,NA,NA,NA,NA
228,"*C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3*",2.45,4.57,0.34,4.09,2.08,-6.42,NA,1.18,5.83,2.57,-0.19,NA,NA,445,NA,22.63,NA,NA,NA,NA,NA,NA
229,"*C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)*",1.86,5.44,0.59,4.9,2.2,-6.36,NA,1.32,6.05,3.6,-0.11,NA,NA,429,NA,23.17,NA,NA,NA,NA,NA,NA
230,"*C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2O*",3.01,4.28,0.47,3.62,1.95,-6.43,NA,1.26,6.18,2.38,-0.15,NA,NA,434,NA,22.36,NA,NA,NA,NA,NA,NA
231,"*C(=O)C(C=C1)=CC=C1C(=O)C2=CC=C(S2)*",2.47,5.24,0.74,4.01,2.06,-6.45,NA,1.41,7.05,3.38,-0.07,NA,NA,416,NA,24.6,NA,NA,NA,NA,NA,NA
232,"*C(=O)C(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2*",2.83,4.62,0.6,3.94,1.98,-6.5,NA,1.28,6.7,2.92,-0.25,NA,NA,368,NA,24.08,NA,NA,NA,NA,NA,NA
233,"*C(=O)C(C=C1)=CC=C1C(=O)C(=S)*",1.71,5.95,0.59,4.41,2.16,-6.44,NA,1.55,6.75,4.36,-0.02,NA,NA,391,NA,24,NA,NA,NA,NA,NA,NA
234,"*C(=O)C(C=C1)=CC=C1C(=O)O*",3.32,4.55,1.51,3.49,1.9,-6.58,NA,1.44,7.88,3.23,-0.09,NA,NA,387,NA,22.45,NA,NA,NA,NA,NA,NA
235,"*C(=O)C(C=C1)=CC=C1C(=S)C2=CC=C(S2)*",1.84,5.73,0.62,4.51,2.19,-6.29,NA,1.48,6.39,3.74,-0.01,NA,NA,431,NA,21.89,NA,NA,NA,NA,NA,NA
236,"*C(=O)C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2*",2.14,5.05,0.48,4.5,2.08,-6.36,NA,1.32,6,3.34,-0.2,NA,NA,395,NA,22.47,NA,NA,NA,NA,NA,NA
237,"*C(=O)C(C=C1)=CC=C1C(=S)O*",2.4,5.09,1.08,4.16,2.02,-6.34,NA,1.51,6.95,3.67,-0.01,NA,NA,433,NA,21.94,NA,NA,NA,NA,NA,NA
238,"*C(=O)C(C=C1)=CC=C1OC2=CC=C(S2)*",2.81,4.53,0.78,4.01,1.96,-6.32,NA,1.37,6.33,2.57,-0.05,NA,NA,440,NA,23.33,NA,NA,NA,NA,NA,NA
239,"*C(=O)C(C=C1)=CC=C1OC(C=C2)=CC=C2*",2.94,4.16,0.65,3.68,1.91,-6.4,NA,1.26,6.31,2.22,0.85,NA,NA,435,NA,23.07,NA,NA,188.14,NA,NA,155.2
240,"*C(=O)C(C=C1)=CC=C1OC(=S)*",2.15,5,0.74,4.31,1.99,-6.31,NA,1.5,6.78,3.54,0,NA,NA,432,NA,23.98,NA,NA,NA,NA,NA,NA
241,"*C(=O)C(=S)OC(=S)*",1.37,6.25,1.16,5.29,2.28,-5.97,NA,1.51,5.21,6.02,0.45,NA,NA,339,NA,19.93,NA,NA,NA,NA,NA,NA
243,"*C(=O)OC1=CC=C(S1)C(=S)*",1.76,5.86,0.94,4.39,2.2,-6.19,NA,1.71,6.49,3.99,0.19,NA,NA,419,NA,19.41,NA,NA,NA,NA,NA,NA
244,"*C(=O)OC1=CC=C(S1)O*",3.96,4.1,0.75,3.51,1.8,-6.25,NA,1.62,6,1.65,0.15,NA,NA,377,NA,20.44,NA,NA,NA,NA,NA,NA
245,"*C(=O)OC(C=C1)=CC=C1C(=S)*",2.25,5.1,0.79,4.04,2.03,-6.34,NA,1.5,6.76,3.72,-0.01,NA,NA,409,NA,20.95,NA,NA,NA,NA,NA,NA
246,"*C(=O)OC(C=C1)=CC=C1O*",4.36,3.84,0.76,3.2,1.79,-6.42,NA,1.43,6.52,1.45,-0.07,NA,NA,370,NA,21.7,NA,NA,NA,NA,NA,NA
247,"*C(=O)OC(=O)O*",5.83,4.41,2.2,2.47,1.62,-6.77,NA,1.64,7.57,2.32,0.07,NA,NA,341,NA,19.16,NA,NA,NA,NA,NA,NA
248,"*C(=O)OC(=S)O*",3.85,4.66,1.14,3.03,1.8,-6.2,NA,1.7,7.33,3.41,0.4,NA,NA,338,NA,19.51,NA,NA,NA,NA,NA,NA
249,"*NC1=CC=C(S1)C2=CC=C(S2)C3=CC=C(S3)*",1.7,7.06,0.66,6.51,2.53,-6.1,NA,1.56,4.41,2.25,0.12,NA,NA,427,NA,19.02,NA,NA,NA,NA,NA,NA
250,"*NC1=CC=C(S1)C2=CC=C(S2)C*",2.75,5.21,0.56,3.98,2.07,-5.93,NA,1.42,4.85,1.64,0.09,NA,NA,422,NA,19.36,NA,NA,NA,NA,NA,NA
251,"*NC1=CC=C(S1)C2=CC=C(S2)C(=O)*",2.11,6.46,1.36,5.73,2.32,-6.22,NA,1.57,5.2,2.78,0.14,NA,NA,454,NA,23.42,NA,NA,NA,NA,NA,NA
252,"*NC1=CC=C(S1)C2=CC=C(S2)C(=S)*",1.62,7.09,1.01,7.61,2.48,-6.05,NA,1.66,5.21,3.19,0.2,NA,NA,432,NA,19.06,NA,NA,NA,NA,NA,NA
254,"*NC1=CC=C(S1)C(C=C2)=CC=C2C3=CC=C(S3)*",2.06,6.1,0.66,6.17,2.39,-6.18,NA,1.4,4.73,2.06,0.02,NA,NA,441,NA,19.79,NA,NA,NA,NA,NA,NA
255,"*NC1=CC=C(S1)C(C=C2)=CC=C2C(=S)*",1.98,6.15,0.62,4.85,2.34,-6.15,NA,1.47,5.48,2.93,0.06,NA,NA,455,NA,20.06,NA,NA,NA,NA,NA,NA
256,"*NC1=CC=C(S1)C(=O)C2=CC=C(S2)*",2.16,5.96,1.73,6.28,2.18,-6.17,NA,1.63,5.42,2.87,0.13,NA,NA,417,NA,20.62,NA,NA,NA,NA,NA,NA
257,"*NC1=CC=C(S1)C(=O)C(=S)*",1.67,6.58,1.32,6.32,2.34,-6.12,NA,1.74,6.1,3.87,0.26,NA,NA,422,NA,20.51,NA,NA,NA,NA,NA,NA
258,"*NC1=CC=C(S1)C(=O)O*",3.11,5.39,1.8,4.38,2.02,-6.1,NA,1.62,6.11,2.62,1.1,NA,NA,396,NA,20.36,NA,NA,NA,NA,NA,NA
259,"*NC1=CC=C(S1)C(=S)C2=CC=C(S2)*",1.91,6.4,1.11,5.25,2.35,-6.01,NA,1.7,5.28,3.25,0.21,NA,NA,427,NA,18.92,NA,NA,NA,NA,NA,NA
260,"*NC1=CC=C(S1)C(=S)C(C=C2)=CC=C2*",2.05,5.83,1.17,5.29,2.24,-6.13,NA,1.54,5.5,3.01,0.06,NA,NA,461,NA,19.37,NA,NA,NA,NA,NA,NA
262,"*NC1=CC=C(S1)NC2=CC=C(S2)*",2.81,5.94,0.55,3.79,2.19,-5.97,NA,1.67,4.37,1.42,0.19,NA,NA,414,NA,18.54,NA,NA,NA,NA,NA,NA
263,"*NC1=CC=C(S1)NC(=S)*",2.53,6.12,0.99,4.8,2.24,-5.9,NA,1.74,5.16,2.29,0.34,NA,NA,420,NA,19.14,NA,NA,NA,NA,NA,NA
264,"*NC1=CC=C(S1)OC2=CC=C(S2)*",3.25,4.96,0.53,3.61,2.01,-6,NA,1.59,5.32,1.31,0.17,NA,NA,427,NA,19.12,NA,NA,NA,NA,NA,NA
265,"*NC1=CC=C(S1)OC(=S)*",2.66,5.34,0.85,4.17,2.08,-5.92,NA,1.72,5.85,2.32,0.31,NA,NA,428,NA,19.72,NA,NA,NA,NA,NA,NA
266,"*NC(C=C1)=CC=C1C2=CC=C(S2)C3=CC=C(S3)*",1.93,6.15,0.34,4.4,2.38,-6.19,NA,1.41,4.64,2.07,0.02,NA,NA,457,NA,19.69,NA,NA,NA,NA,NA,NA
267,"*NC(C=C1)=CC=C1C2=CC=C(S2)C(C=C3)=CC=C3*",2.18,5.34,0.41,5.5,2.22,-6.26,NA,1.28,4.83,1.87,-0.07,NA,NA,477,NA,20.27,NA,NA,NA,NA,NA,NA
268,"*NC(C=C1)=CC=C1C2=CC=C(S2)C(=S)*",1.84,6.25,0.69,6.15,2.35,-6.17,NA,1.48,5.39,2.94,0.05,NA,NA,459,NA,19.94,NA,NA,NA,NA,NA,NA
269,"*NC(C=C1)=CC=C1C(C=C2)=CC=C2C3=CC=C(S3)*",2.29,5.29,0.47,5.47,2.22,-6.26,NA,1.28,4.9,1.87,-0.07,NA,NA,461,NA,20.38,NA,NA,NA,NA,NA,NA
